Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season
Pablo Sisniega,,GK,1,1,90,3,0,3,3.0,0/0,0,1,0,0,0.0,0.0,2020,post
Steve Clark,,GK,1,1,120,5,4,1,1.0,0/0,0,0,1,0,0.0,80.0,2020,post
Quentin Westberg,,GK,1,1,120,6,5,1,1.0,0/0,0,1,0,0,0.0,83.3,2020,post
Sean Johnson,,GK,1,1,120,3,2,1,1.0,1/1,0,0,1,0,0.0,66.7,2020,post
Pedro Gallese,,GK,1,1,120,7,6,1,1.0,0/0,0,0,1,0,0.0,85.7,2020,post
JT Marcinkowski,,GK,1,1,120,8,5,3,3.0,0/0,0,0,1,0,0.0,62.5,2020,post
Luis Barraza,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Kevin Silva,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Andre Rawls,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Carlos Avilez,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Trey Muse,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
James Pantemis,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Stefan Cleveland,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Matt Freese,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Eric Dick,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Phelipe Megiolaro,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
John Pulskamp,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Jonathan Sirois,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Abraham Rodriguez,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Phillip Ejimadu,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Fred Emmings,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Emmanuel Ochoa,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Drake Callender,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Elliot Panicco,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Kenneth Vermeer,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
David Jensen,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Luis Robles,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Brad Knighton,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Daniel Vega,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Matt Lampson,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Joe Bendik,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Jon Kempin,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Jeff Attinella,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Richard Sanchez,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Clint Irwin,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Aljaz Ivacic,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Brad Stuver,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Kyle Zobeck,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Alex Bono,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Tyler Miller,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Jeff Caldwell,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Greg Ranjitsingh,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Adrian Zendejas,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Mason Stajduhar,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Brady Scott,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Kendall McIntosh,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
Matt Bersano,,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2020,post
