Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Keesean Ferdinand,MTL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Tomas Giraldo,MTL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Michael Halliday,ORL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Nicolas Acevedo,NYC,M,12,1,128,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,2,0,1,0,,2020,reg
Sam Gleadle,MIN,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Michee Ngalina,PHI,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Steeven Saba,MTL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Carlos Harvey,LA,M,6,1,104,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,1,0,,2020,reg
Will Vint,COL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Mateo Bajamich,HOU,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Santiago Patiño,ORL,F,2,0,8,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Callum Montgomery,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Jonathan Perez,LA,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Erik Dueñas,LAFC,D,2,0,34,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,1,0,,2020,reg
Miguel Berry,CLB,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Nkosi Burgess,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Luke Haakenson,NSH,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Tony Leone,LAFC,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Zac McGraw,POR,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2020,reg
Mohamed Traore,LAFC,D,1,1,45,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2020,reg
Carlos Teran,CHI,D,2,0,14,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2020,reg
Jacob Shaffelburg,TOR,M-F,4,1,125,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,3,0,0,0,0.0,2020,reg
Siad Haji,SJ,M,4,0,49,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,100.0,2020,reg
Brian Gutierrez,CHI,M,6,0,27,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,0,0,100.0,2020,reg
Jahkeele Marshall-Rutty,TOR,M,1,0,18,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,100.0,2020,reg
Ethan Dobbelaere,SEA,M,1,1,54,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,0.0,2020,reg
Thomas Chacon,MIN,M,4,1,172,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,6,1,1,0,100.0,2020,reg
Jordan Bender,ORL,M,2,1,46,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,0,0,0,0,0.0,2020,reg
Ralph Priso,TOR,M,4,1,158,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,0,0,0.0,2020,reg
Collen Warner,COL,M,7,4,263,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,1,0,1,0,0.0,2020,reg
Johan Kappelhof,CHI,D,4,2,200,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,1,0,0.0,2020,reg
Mathieu Deplagne,CIN,D,15,13,1175,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,19,11,0,6,0,0.0,2020,reg
Jorge Moreira,POR,D,1,1,89,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,0.0,2020,reg
Matt Besler,SKC,D,10,9,810,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,9,0,1,0,0.0,2020,reg
Rod Fanni,MTL,D,12,10,946,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,5,0,0,0,0.0,2020,reg
Michael Mancienne,NE,D,5,4,316,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,0,0,1,0,0.0,2020,reg
Warren Creavalle,PHI,M,11,4,379,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,6,0,2,0,0.0,2020,reg
Mohammed Abu,DC,M,6,4,332,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,4,0,2,0,0.0,2020,reg
Josef Martinez,ATL,F,1,1,69,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,0,0,0.0,2020,reg
Adama Diomande,LFC,F,1,0,16,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2020,reg
Chris Duvall,POR,D,10,9,745,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,4,0,3,0,0.0,2020,reg
Micheal Azira,CHI,M,6,1,125,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,0.0,2020,reg
Eric Miller,NSH,D,6,5,435,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,0,0,0,0.0,2020,reg
Alvas Powell,MIA,D,4,2,197,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,1,0,100.0,2020,reg
Alejandro Fuenmayor,HOU,D,5,3,301,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,1,0,0.0,2020,reg
Oniel Fisher,DC,D,15,6,673,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,15,6,1,1,0,0.0,2020,reg
Amro Tarek,RBNY,D,12,10,935,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,19,9,1,3,0,0.0,2020,reg
Brent Kallman,MIN,D,4,3,271,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,2,0,0,0,100.0,2020,reg
Graham Smith,SKC,D,4,4,315,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,2,0,2,0,0.0,2020,reg
Ronaldo Peña,HOU,F,1,0,38,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,0.0,2020,reg
Jimmy Medranda ,SEA,D,3,0,20,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,100.0,2020,reg
Zico Bailey,CIN,D,5,3,296,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,3,0,1,0,0.0,2020,reg
Luis Felipe,SJ,M,5,2,197,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,100.0,2020,reg
Shandon Hopeau,SEA,F,5,1,81,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,1,0,0.0,2020,reg
Brandt Bronico,CHI,M,10,3,275,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,3,0,1,0,0.0,2020,reg
Rodrigo Schlegel,ORL,D,10,7,645,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,4,0,4,0,0.0,2020,reg
Tate Schmitt,RSL,M,4,3,254,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,3,0,0,0,0.0,2020,reg
Rashawn Dally,CIN,F,4,0,68,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,0,0,0.0,2020,reg
Erik Holt,RSL,D,7,4,383,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,1,0,1,0,0.0,2020,reg
Matt LaGrassa,NSH,M,8,4,376,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,4,0,0,0,50.0,2020,reg
Cameron Duke,SKC,M,8,2,218,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,5,0,1,0,50.0,2020,reg
Justin Portillo ,RSL,M,5,3,265,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,4,0,1,0,0.0,2020,reg
Marlon Hairston,MIN,M,9,4,405,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,7,0,1,0,0.0,2020,reg
Nico Lemoine,HOU,F,11,0,163,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,10,0,1,0,0.0,2020,reg
Justin Rennicks,NE,F,4,0,29,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,0.0,2020,reg
Saad Abdul-Salaam,CIN,D,8,5,424,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,5,1,0,0,0.0,2020,reg
Axel Sjöberg,DC,D,2,2,171,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,2,0,0,0,50.0,2020,reg
Joey DeZart,ORL,M,11,4,373,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,3,0,0,0,50.0,2020,reg
Luka Stojanovic,CHI,M,2,1,60,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,0,0,50.0,2020,reg
Erik Godoy,VAN,D,12,11,940,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,5,1,0,1,0.0,2020,reg
Scott Caldwell,NE,M,18,15,1155,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,26,9,0,4,1,0.0,2020,reg
Dairon Asprilla,POR,M-F,3,0,46,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,0.0,2020,reg
Jay Chapman,MIA,M,8,2,200,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,1,0,1,0,0.0,2020,reg
Shane O'Neill,SEA,D,18,13,1238,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,16,3,0,3,0,0.0,2020,reg
Brad Smith,SEA,D,5,1,148,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,50.0,2020,reg
Wilfried Zahibo,HOU,M,7,3,298,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,15,3,1,2,0,0.0,2020,reg
Laurent Ciman,TOR,D,12,5,530,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,4,0,2,0,50.0,2020,reg
Fernando Meza,ATL,D,13,13,1073,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,17,8,2,2,0,50.0,2020,reg
Edgar Castillo,ATL,D,4,1,145,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,50.0,2020,reg
Jonathan dos Santos,LA,M,13,7,700,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,5,0,1,0,0.0,2020,reg
Danny Wilson,COL,D,9,9,742,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,3,1,1,1,50.0,2020,reg
Aljaz Struna,HOU,D,17,16,1436,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,21,9,1,6,0,0.0,2020,reg
Perry Kitchen,LA,M,21,19,1723,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,39,23,0,6,0,0.0,2020,reg
Aidan Morris,CLB,M,10,2,360,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,5,0,3,0,0.0,2020,reg
Karifa Yao,MTL,D,2,1,127,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,0,0,0,0,0.0,2020,reg
Dante Sealy,DAL,F,5,0,49,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,3,0,0,0,0.0,2020,reg
Jasser Khmiri,VAN,D,5,5,387,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,1,0,2,0,0.0,2020,reg
Emil Cuello,LA,M,11,2,232,0,0,2,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,14,2,1,1,0,100.0,2020,reg
Cameron Dunbar,LA,F,4,1,82,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,0.0,2020,reg
Jayden Nelson,TOR,F,7,1,141,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,3,0,2,0,0.0,2020,reg
Franko Kovacevic,CIN,F,1,1,90,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,6,0,0,0,33.33,2020,reg
Dru Yearwood,RBNY,M,12,8,612,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,17,6,0,3,0,33.33,2020,reg
Bryce Duke,LAFC,M,11,2,234,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,4,0,0,0,33.33,2020,reg
Guram Kashia,SJ,D,6,6,488,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,2,0,1,0,33.33,2020,reg
Everton Luiz,RSL,M,14,11,919,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,17,0,1,0,0.0,2020,reg
Sam Nicholson,COL,F,2,2,174,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,2,0,0,0.0,2020,reg
Paul Arriola,DC,M-F,1,0,21,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0.0,2020,reg
Nick Besler,RSL,M,12,6,569,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,5,0,2,0,33.33,2020,reg
Jose Bizama,HOU,D,8,6,567,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,4,1,1,0,0.0,2020,reg
Robinho,ORL,M,5,2,144,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,4,0,0,0,33.33,2020,reg
Matheus Rossetto,ATL,M,15,10,780,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,4,2,1,0,33.33,2020,reg
Liam Fraser,TOR,M,13,4,436,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,1,0,1,0,0.0,2020,reg
Brandon Servania,DAL,M,12,4,398,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,7,0,1,0,0.0,2020,reg
Tah Brian Anunga,NSH,M,14,8,779,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,19,4,0,1,0,0.0,2020,reg
Marco Farfan,POR,D,14,9,854,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,18,9,0,2,0,0.0,2020,reg
Kamal Miller,ORL,D,12,9,805,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,14,0,3,0,0.0,2020,reg
Tristan Blackmon,LAFC,D,14,11,977,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,17,6,0,2,0,25.0,2020,reg
Andrew Gutman,CIN,D,21,15,1441,0,0,4,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,10,16,1,3,0,0.0,2020,reg
Erickson Gallardo,TOR,F-M,5,2,162,0,0,4,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,3,1,0,0,50.0,2020,reg
Tomas Conechny,POR,M,8,3,182,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,5,1,1,0,25.0,2020,reg
Florian Jungwirth,SJ,D,19,18,1612,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,25,5,0,5,0,25.0,2020,reg
Kyle Beckerman,RSL,M,10,5,389,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,10,0,4,1,25.0,2020,reg
Dario Zuparic,POR,D,19,18,1611,0,0,4,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,20,19,1,3,1,100.0,2020,reg
Robin Jansson,ORL,D,22,22,1980,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,16,0,3,0,25.0,2020,reg
Jukka Raitala,MTL,D,15,15,1350,0,0,4,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,20,6,0,2,0,75.0,2020,reg
Alan Winn,NSH,F,7,1,239,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,7,0,0,0,25.0,2020,reg
Laurence Wyke,ATL,D,7,2,226,0,0,4,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,3,0,1,0,25.0,2020,reg
Tanner Beason,SJ,D,9,9,810,0,0,5,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,4,1,1,0,0.0,2020,reg
Ranko Veselinovic,VAN,D,18,16,1384,0,0,5,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,8,0,2,0,0.0,2020,reg
Jeizon Ramirez,RSL,F,10,0,80,0,0,5,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,1,0,20.0,2020,reg
Justin Morrow,TOR,D,15,11,959,0,0,5,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,4,0,1,0,20.0,2020,reg
Fanendo Adi,CLB,F,11,1,175,0,0,5,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,6,1,0,0,20.0,2020,reg
Jalil Anibaba,NSH,D,12,6,582,0,0,5,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,1,0,2,0,40.0,2020,reg
Roman Torres,SEA,D,8,4,352,0,0,5,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,0,1,0.0,2020,reg
Wil Trapp,MIA,M,21,16,1368,0,0,5,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,23,6,0,4,0,40.0,2020,reg
Victor Cabrera,HOU,D,10,8,656,0,0,5,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,3,0,1,0,20.0,2020,reg
Adam Lundkvist,HOU,D,21,21,1819,0,0,6,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,27,14,4,3,0,33.33,2020,reg
Daniel Salloi,SKC,F,7,1,165,0,0,6,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,1,1,0,0,50.0,2020,reg
Osvaldo Alonso,MIN,M,10,9,751,0,0,6,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,8,0,4,0,16.67,2020,reg
Sebastian Berhalter,CLB,M,9,4,395,0,0,6,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,4,0,1,0,0.0,2020,reg
Alvaro Barreal,CIN,M,5,4,326,0,0,6,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,7,2,0,0,0.0,2020,reg
Mathias Jorgensen,RBNY,F,8,2,265,0,0,7,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,3,3,0,0,14.29,2020,reg
Adrien Perez,LAFC,F,9,2,299,0,0,7,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,8,0,0,0,14.29,2020,reg
Maikel van der Werff,CIN,D,13,11,973,0,0,7,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,15,9,2,2,0,14.29,2020,reg
Tomas Martinez,HOU,M,11,3,343,0,0,7,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,7,1,1,0,14.29,2020,reg
Tom Pettersson,CIN,D,15,13,1142,0,0,7,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,22,18,1,1,0,14.29,2020,reg
Bakaye Dibassy,MIN,D,11,10,858,0,0,7,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,3,0,1,0,14.29,2020,reg
Manuel Castro,ATL,F,10,3,257,0,0,7,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,7,1,0,0,28.57,2020,reg
Derek Cornelius,VAN,D,13,11,1011,0,0,7,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,9,0,3,0,14.29,2020,reg
DeJuan Jones,NE,D,18,13,1134,0,0,7,5,0,0/0,0,0,0.0,0.0,0,0,0,0.0,14,16,0,2,0,71.43,2020,reg
Anthony Jackson-Hamel,MTL,F,7,2,195,0,0,8,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,1,2,0,25.0,2020,reg
Samuel Tetteh,RBNY,F,10,4,328,0,0,8,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,1,1,0,0,12.5,2020,reg
Miguel Ibarra ,SEA,M,12,3,248,0,0,8,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,4,0,0,37.5,2020,reg
Michael Boxall,MIN,D,19,19,1710,0,0,8,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,21,3,1,4,0,37.5,2020,reg
Aleksandar Katai,LA,M,2,2,117,0,0,8,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,2,0,2,0,0.0,2020,reg
Gustav Svensson,SEA,M,12,11,959,0,0,9,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,15,6,0,0,0,22.22,2020,reg
Matias Vera,HOU,M,20,20,1690,0,0,9,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,32,28,0,7,1,22.22,2020,reg
Ulises Segura,DC,M,10,7,683,0,0,9,5,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,14,3,1,0,55.56,2020,reg
Miles Robinson,ATL,D,17,16,1393,0,0,9,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,20,18,1,6,0,11.11,2020,reg
Andres Reyes,MIA,D,13,13,1101,0,0,9,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,27,12,0,9,2,33.33,2020,reg
Dylan Nealis,MIA,D,19,10,1104,0,0,10,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,20,14,0,1,0,10.0,2020,reg
Luis Binks,MTL,D,21,20,1762,0,0,10,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,30,18,1,8,1,10.0,2020,reg
Cristhian Paredes,POR,M,17,9,822,0,0,10,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,15,11,0,5,0,40.0,2020,reg
Kendall Waston,CIN,D,17,17,1528,0,0,10,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,22,9,1,5,0,30.0,2020,reg
Jonathan Mensah,CLB,D,23,23,2070,0,0,10,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,24,11,1,4,0,40.0,2020,reg
Omar Gonzalez,TOR,D,23,21,1871,0,0,11,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,6,3,2,0,18.18,2020,reg
Marcelo Silva,RSL,D,15,15,1309,0,0,12,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,19,3,0,4,0,33.33,2020,reg
Boniek Garcia,HOU,M,18,7,819,0,0,12,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,9,0,5,0,8.33,2020,reg
Nedum Onuoha,RSL,D,15,15,1318,0,0,12,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,9,2,0,0,16.67,2020,reg
Sacha Kljestan,LA,M,15,8,769,0,0,13,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,5,0,2,0,30.77,2020,reg
Judson,SJ,M,21,20,1701,0,0,14,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,44,14,0,4,0,7.14,2020,reg
Sebastian Mendez,ORL,M,19,11,1087,0,0,17,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,32,9,1,4,1,17.65,2020,reg
Kelyn Rowe,NE,M,16,10,896,0,0,17,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,13,4,0,3,0,23.53,2020,reg
Siem de Jong,CIN,M,15,8,793,0,0,18,5,0,0/1,0,0,0.0,0.0,0,0,0,0.0,7,8,1,0,0,27.78,2020,reg
Maxime Chanot,NYC,D,20,20,1712,0,0,19,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,18,6,1,5,1,21.05,2020,reg
Nicolas Figal,MIA,D,21,21,1746,0,0,22,9,0,0/0,0,0,0.0,0.0,0,0,0,0.0,22,26,0,4,0,40.91,2020,reg
Kevin Molino,,M,3,3,268,4,0,9,6,2,0/0,2,2,1.34,44.4,0,0,0,0.0,3,11,0,0,0,66.67,2020,post
Gustavo Bou,,F,4,4,348,3,1,21,7,2,0/0,1,2,0.78,14.3,0,1,0,0.26,3,2,2,1,0,33.33,2020,post
Lucas Zelarayan,,M,4,4,386,2,5,14,4,1,0/0,2,0,0.47,14.3,3,5,0,1.17,5,12,0,0,0,28.57,2020,post
Carles Gil,,F,4,4,359,2,3,8,4,0,1/1,1,1,0.5,25.0,1,0,3,0.75,0,10,0,0,0,50.0,2020,post
Raul Ruidiaz ,,F,4,4,360,2,2,17,4,1,0/0,2,0,0.5,11.8,0,2,0,0.5,6,3,1,0,0,23.53,2020,post
Gyasi Zardes,,F,4,4,383,2,1,17,8,1,0/0,2,0,0.47,11.8,1,1,0,0.23,7,4,8,0,0,47.06,2020,post
Bakaye Dibassy,,D,3,3,270,2,0,2,2,0,0/0,0,2,0.67,100.0,0,0,0,0.0,4,0,0,2,0,100.0,2020,post
Pedro Santos,,M,3,3,300,2,0,12,4,1,1/1,2,0,0.6,16.7,0,0,0,0.0,5,7,0,1,0,33.33,2020,post
Emanuel Reynoso,,M,3,3,253,1,7,5,3,0,0/0,0,1,0.36,20.0,2,3,4,2.49,3,4,0,1,0,60.0,2020,post
Nicolás Lodeiro,,M,4,4,360,1,3,8,1,0,0/0,1,0,0.25,12.5,2,3,0,0.75,6,19,4,1,0,12.5,2020,post
Carlos Fierro,,M,1,1,87,1,1,1,1,0,0/0,0,1,1.03,100.0,0,0,1,1.03,1,1,0,0,0,100.0,2020,post
Derrick Etienne Jr.,,M,2,2,164,1,1,3,2,0,0/0,1,0,0.55,33.3,1,1,0,0.55,4,2,2,0,0,66.67,2020,post
Gianluca Busio,,M-F,2,2,154,1,1,7,3,0,0/0,1,0,0.58,14.3,0,1,0,0.58,2,2,0,0,0,42.86,2020,post
Jordan Morris,,F,4,4,358,1,1,10,1,0,0/0,1,0,0.25,10.0,0,1,0,0.25,2,2,1,0,0,10.0,2020,post
Will Bruin,,F,2,0,47,1,0,1,1,0,0/0,1,0,1.91,100.0,0,0,0,0.0,0,0,0,0,0,100.0,2020,post
