Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Lalas Abubakar,COL,D,17,17,1515,1,0,4,1,0,0/0,1,0,0.06,25.0,0,0,0,0.0,21,4,1,5,0,25.0,2020,reg
Paul Marie,SJ,D,12,4,353,1,0,4,2,0,0/0,1,0,0.25,25.0,0,0,0,0.0,4,3,0,1,0,50.0,2020,reg
Sam Junqua,HOU,D,9,2,250,1,0,5,3,0,0/0,1,0,0.36,20.0,0,0,0,0.0,5,2,0,0,0,60.0,2020,reg
Julio Cascante,POR,D,5,4,405,1,0,5,2,0,0/0,0,1,0.22,20.0,0,0,0,0.0,5,6,0,0,0,40.0,2020,reg
Justen Glad,RSL,D,17,14,1279,1,0,6,3,0,0/0,1,0,0.07,16.7,0,0,0,0.0,33,7,2,5,0,50.0,2020,reg
Sam Johnson,RSL,F,10,3,330,1,0,6,1,0,0/0,0,1,0.27,16.7,0,0,0,0.0,12,2,2,3,0,16.67,2020,reg
Theo Bair,VAN,F,16,6,446,1,0,6,3,0,0/0,1,0,0.2,16.7,0,0,0,0.0,5,1,1,0,0,50.0,2020,reg
Ballou Jean-Yves Tabla,MTL,F,5,0,100,1,0,6,2,0,0/0,1,0,0.9,16.7,0,0,0,0.0,0,3,0,0,0,33.33,2020,reg
Giuseppe Rossi,RSL,F,7,1,172,1,0,6,3,0,0/0,0,1,0.52,16.7,0,0,0,0.0,2,2,1,0,0,50.0,2020,reg
David Accam,NSH,F,7,2,206,1,0,6,3,1,0/0,0,1,0.44,16.7,0,0,0,0.0,7,4,0,0,0,50.0,2020,reg
Rudy Camacho,MTL,D,14,14,1189,1,0,7,1,1,0/0,0,1,0.08,14.3,0,0,0,0.0,25,5,0,2,1,14.29,2020,reg
Fatai Alashe,CLB,M,11,6,464,1,0,8,1,0,0/0,0,1,0.19,12.5,0,0,0,0.0,13,11,0,3,0,12.5,2020,reg
Jakob Glesnes,PHI,D,19,17,1493,1,0,8,2,0,0/0,0,1,0.06,12.5,0,0,0,0.0,15,8,0,4,0,25.0,2020,reg
Allan Cruz,CIN,M,14,8,751,1,0,8,2,0,0/0,0,1,0.12,12.5,0,0,0,0.0,13,15,1,2,0,25.0,2020,reg
Daniel Steres ,LA,D,20,20,1800,1,0,9,3,0,0/0,1,0,0.05,11.1,0,0,0,0.0,17,8,2,3,0,33.33,2020,reg
Joe Corona,LA,M,16,12,986,1,0,10,6,1,0/0,0,1,0.09,10.0,0,0,0,0.0,21,10,0,2,1,60.0,2020,reg
Nick Hagglund,CIN,D,11,8,744,1,0,10,3,1,0/0,1,0,0.12,10.0,0,0,0,0.0,13,4,0,2,0,30.0,2020,reg
Jack Elliott,PHI,D,17,10,981,1,0,10,6,0,0/0,1,0,0.09,10.0,0,0,0,0.0,18,7,0,2,0,60.0,2020,reg
Jose Aja,MIN,D,13,12,1071,1,0,11,3,0,0/0,1,0,0.08,9.1,0,0,0,0.0,23,3,1,6,0,27.27,2020,reg
Tsubasa Endoh,TOR,M,17,7,615,1,0,11,4,0,0/0,0,1,0.15,9.1,0,0,0,0.0,6,20,1,1,0,36.36,2020,reg
Danny Hoesen,SJ,F,8,3,249,1,0,11,3,0,0/0,0,1,0.36,9.1,0,0,0,0.0,4,0,1,1,0,27.27,2020,reg
Henry Kessler,NE,D,22,19,1823,1,0,12,2,0,0/0,1,0,0.05,8.3,0,0,0,0.0,13,13,0,2,0,16.67,2020,reg
Aaron Schoenfeld ,MIN,F,14,3,390,1,0,14,4,1,0/0,0,1,0.23,7.1,0,0,0,0.0,7,10,1,0,0,28.57,2020,reg
Erik Sorga,DC,F,17,6,668,1,0,16,4,1,0/0,0,1,0.13,6.3,0,0,0,0.0,9,13,1,1,0,25.0,2020,reg
Frankie Amaya,CIN,M,21,21,1737,1,0,21,6,1,0/0,0,1,0.05,4.8,0,0,0,0.0,39,36,0,7,0,28.57,2020,reg
Joseph-Claude Gyau,CIN,M,21,20,1796,1,0,21,8,0,0/0,0,1,0.05,4.8,0,0,0,0.0,25,43,3,3,0,38.1,2020,reg
Diego Fagundez,NE,M,19,9,966,1,0,21,5,0,0/0,1,0,0.09,4.8,0,0,0,0.0,15,7,0,2,0,23.81,2020,reg
Anibal Godoy,NSH,M-D,20,18,1494,1,0,23,8,1,0/0,1,0,0.06,4.3,0,0,0,0.0,32,51,0,4,0,34.78,2020,reg
